Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Michael Scott CROSSES THE LINE - The Office US,The Office,14:03,52275,789,3734666,2641,2019-11-16T20:00:03Z,6,0.9851311623699683,70,32,14.05
The Art of Betrayal - The Office US,The Office,10:07,48573,759,3863970,1969,2018-11-10T17:00:05Z,7,0.9846144490391632,84,32,10.117
Michael's Best Phone Calls - The Office US,The Office,10:07,41564,638,2937865,1528,2019-05-31T15:14:20Z,8,0.9848822330695227,94,32,10.117
The Office | Every Cold Open (Season 6 Part 2),Peacock,17:20,9695,197,867742,302,2021-05-11T16:06:06Z,9,0.9800849171047311,107,32,17.333
Sensitivity Training - The Office,The Office,04:04,49137,676,3278977,345,2019-10-01T13:00:13Z,0,0.9864292453777126,7,33,4.067
Casting The Office | A Peacock Extra | The Office US,The Office,06:02,85048,509,3663992,4832,2021-01-21T18:00:10Z,1,0.9940507497925359,14,33,6.033
Season 2 Bloopers - The Office US | Comedy Bites,Comedy Bites,10:03,121788,1327,8420725,2640,2019-01-31T17:00:06Z,2,0.9892214596109329,23,33,10.05
Best of Creed - The Office US,The Office,12:13,204264,2244,15040074,11918,2017-07-29T16:00:02Z,0,0.9891335928874426,5,34,12.217
The Best of Kevin - The Office US,The Office,10:01,125063,1698,10694853,6596,2017-09-09T16:00:09Z,1,0.9866047128059893,15,34,10.017
The Office | Every Cold Open (Season 9 Part 1),Peacock,16:40,2602,43,200369,76,2021-07-14T13:00:00Z,2,0.9837429111531191,28,34,16.667
Best of Creed - The Office US,The Office,12:13,204264,2244,15040074,11918,2017-07-29T16:00:02Z,0,0.9891335928874426,8,35,12.217
Creed Can't Remember Anyone's Name - The Office,The Office,03:30,75402,572,3108407,2657,2020-03-05T14:00:04Z,1,0.9924711085371312,17,35,3.5
When Kids Come to Work - The Office US,The Office,05:07,17879,111,708159,692,2021-04-08T17:00:05Z,2,0.9938299055030573,30,35,5.117
Lice Invasion - The Office US,The Office,04:55,37693,462,2287924,1693,2020-07-30T17:00:04Z,3,0.9878914952168785,43,35,4.917
Jim's Radio Prank on Dwight - The Office,The Office,04:47,135632,1272,6144405,2468,2019-12-10T14:00:08Z,4,0.990708817857769,49,35,4.783
Spontaneous Pranks That Drove Dwight Insane - The Office (Mashup),The Office,11:14,160516,2823,12144359,2600,2019-11-07T14:00:00Z,5,0.9827169261474602,61,35,11.233
MICHAEL'S BEST MEETINGS | The Office | Comedy Bites,Comedy Bites,09:56,6558,161,465908,239,2020-08-28T17:00:12Z,6,0.9760381009078732,69,35,9.933
