Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,index,Run,Minutes
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,8,0.9691414604338527,91,2,5.917
Negotiating with Jack Donaghy,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,9,0.9864580198615709,92,2,5.817
Jack Donaghy's Life Lessons | 30 Rock,30 Rock Official,08:23,779,8,62100,55,2021-06-15T16:30:05Z,9,0.9898348157560356,93,2,8.383
30 Rock - Best of Season 4,wwydotu,07:59,1520,70,327849,104,2011-01-29T06:15:15Z,9,0.9559748427672956,94,2,7.983
Jack Donaghy - Six Sigma Wheel of Happiness Domination,Nick Lyon,02:33,1178,45,192053,65,2014-07-25T23:46:51Z,9,0.9632052330335241,95,2,2.55
"30 Rock - Therapy, Jack Style (Episode Highlight)",30 Rock Official,02:38,2330,28,158930,186,2017-07-12T17:00:01Z,9,0.9881255301102629,96,2,2.633
The Treaty of Westphalia,Plymhistnet,04:57,84405,1157,5321285,4239,2008-11-20T12:02:15Z,9,0.9864776419438536,97,2,4.95
Anna Howard Shaw Day At 30 Rock - 30 Rock,30 Rock Official,10:01,2050,70,298566,101,2018-02-14T00:00:01Z,9,0.9669811320754716,98,2,10.017
Every D'fwan Moment - 30 Rock,30 Rock Official,08:55,10289,216,918992,683,2018-01-05T17:30:01Z,9,0.979438362684436,99,2,8.917
30 Rock: The Best of Liz Lemon,Kim,09:47,5651,171,1132725,697,2008-08-15T14:08:26Z,9,0.9706286499484713,100,2,9.783
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,9,0.9714805825242718,101,2,10.017
Mentalist Puzzle Boxes,Phil Tomlinson,02:58,2396,70,331015,80,2012-12-11T00:40:43Z,9,0.9716139497161395,102,2,2.967
Hilarious Dr. Spaceman | The Best Of Dr. Spaceman | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,0,0.9864580198615709,0,3,5.817
Liz Lemon's Boyfriends - 30 Rock,30 Rock Official,10:03,6648,185,1031527,464,2017-12-29T17:00:05Z,0,0.9729255085613933,1,3,10.05
Jack vs Banks - 30 Rock,30 Rock Official,10:01,6404,188,1029495,450,2017-11-24T17:30:00Z,0,0.9714805825242718,2,3,10.017
Every Appearance Of Conan (Best Of Conan O’Brien) - 30 Rock,30 Rock Official,05:38,16061,446,1755712,852,2018-05-04T16:00:03Z,0,0.9729811595080875,3,3,5.633
All the Oscar Winners and Nominees - 30 Rock,30 Rock Official,05:43,1713,47,155293,118,2020-02-06T14:00:08Z,0,0.9732954545454545,4,3,5.717
30 Rock - Doctor's Diagnosis (Episode Highlight),30 Rock Official,01:53,638,6,72020,22,2017-10-19T06:58:41Z,0,0.9906832298136646,5,3,1.883
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,0,0.9691414604338527,6,3,5.917
Every D'fwan Moment - 30 Rock,30 Rock Official,08:55,10289,216,918992,683,2018-01-05T17:30:01Z,0,0.979438362684436,7,3,8.917
The Best Of Subhas Ramsaywack | 30 Rock,30 Rock Official,10:07,136,3,7491,23,2021-07-26T15:00:16Z,0,0.9784172661870504,8,3,10.117
Best Of: Good GOD! | 30 Rock,30 Rock Official,09:16,748,13,57360,36,2021-05-18T16:30:08Z,0,0.9829172141918529,9,3,9.267
Donaghy Can't Read Kenneth At Poker - 30 Rock,30 Rock Official,04:13,9284,211,1077390,375,2019-10-31T16:45:00Z,0,0.9777777777777777,10,3,4.217
Hilarious Dr. Spaceman | The Best Of Dr. Spaceman | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,1,0.9864580198615709,11,3,5.817
Cash Cab With Tracey Jordan - 30 Rock,30 Rock Official,02:33,3018,34,189163,109,2018-03-25T15:00:00Z,1,0.9888597640891219,12,3,2.55
"Dr. Pepper ""Employee Greeting""",Brendan Clark,01:26,302,8,106564,18,2010-11-12T23:29:54Z,1,0.9741935483870968,13,3,1.433
Seinfeld Feels Insulted by Liz | Tina Fey Imitates Jerry Seinfeld | Relationship Advice | 30 Rock,30 Rock Official,05:18,5277,140,447930,322,2020-10-09T15:00:01Z,1,0.9741554365885177,14,3,5.3
Flu Shot Rationing - 30 Rock,30 Rock Official,02:54,414,5,32205,29,2020-01-11T14:00:06Z,1,0.9880668257756563,15,3,2.9
Negotiating with Jack Donaghy,Michael H,05:01,4750,125,812312,333,2012-03-20T09:53:27Z,1,0.9743589743589743,16,3,5.017
The Best of Jenna Maroney and Paul L'Astname - 30 Rock (Mashup),30 Rock Official,09:24,2621,77,271672,228,2019-10-03T19:28:16Z,1,0.9714603409933283,17,3,9.4
30 Rock - Crisis Control (Episode Highlight),30 Rock Official,04:58,1118,36,141677,72,2017-10-19T05:43:22Z,1,0.9688041594454073,18,3,4.967
Liz Meets Dr. Spaceman - 30 Rock,30 Rock Official,02:12,626,10,81981,33,2017-08-10T15:00:04Z,1,0.9842767295597484,19,3,2.2
"Chris Parnell on His Favorite Dr. Spaceman Lines from ""30 Rock"" | The Rich Eisen Show | 11/12/19",The Rich Eisen Show,02:40,398,22,39961,51,2019-11-12T21:33:15Z,1,0.9476190476190476,20,3,2.667
Hilarious Dr. Spaceman | The Best Of Dr. Spaceman | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,2,0.9864580198615709,21,3,5.817
Liz and Criss Fail the Ikea Test - 30 Rock,30 Rock Official,03:17,1911,49,195482,137,2020-03-31T13:00:08Z,2,0.975,22,3,3.283
"""Kidney Now"" Song - 30 Rock",30 Rock Official,03:09,921,7,60855,111,2019-12-28T14:00:00Z,2,0.9924568965517241,23,3,3.15
Liz Accidentally Gets Floyd Drunk - 30 Rock,30 Rock Official,03:28,668,8,82323,39,2019-10-12T13:00:12Z,2,0.9881656804733728,24,3,3.467
Jack Donaghy vs the UN,einlikoach,04:32,150,6,39276,27,2016-08-18T10:17:38Z,2,0.9615384615384616,25,3,4.533
30 Rock - Flu Shot (Episode Highlight),30 Rock Official,02:34,293,5,39508,8,2017-07-28T17:00:05Z,2,0.9832214765100671,26,3,2.567
Salma Hayek as The Black Widow - 30 Rock,30 Rock Official,05:55,3172,101,418529,232,2019-11-12T14:00:01Z,2,0.9691414604338527,27,3,5.917
The Best of Cerie Xerox - 30 Rock,30 Rock Official,02:37,4071,78,538938,251,2020-01-16T14:00:04Z,2,0.9812002892263196,28,3,2.617
"''If Women Are So Funny, Do Something Funny Right Now.'' | 30 Rock",30 Rock Official,04:21,653,18,55197,100,2021-02-04T16:00:10Z,2,0.9731743666169895,29,3,4.35
Liz Calls In Sick - 30 Rock,30 Rock Official,04:03,1685,28,183360,145,2019-11-09T20:30:02Z,2,0.9836544074722708,30,3,4.05
Hilarious Dr. Spaceman | The Best Of Dr. Spaceman | 30 Rock,30 Rock Official,05:49,3278,45,260195,237,2020-10-22T16:00:12Z,3,0.9864580198615709,31,3,5.817
Jack Learns Social Media from Cerie - 30 Rock,30 Rock Official,02:38,2380,39,291309,151,2020-04-25T13:00:37Z,3,0.9838776353865234,32,3,2.633
